bay_name,grid_row,grid_col,level
PA1-2a,6,1,Level 1
PA1-2b,6,2,Level 1
PA3-2a,6,3,Level 1
PA3-2b,6,4,Level 1
PA5-2a,6,5,Level 1
PA5-2b,6,6,Level 1
PA7-2a,6,7,Level 1
PA7-2b,6,8,Level 1
PA9-2a,6,9,Level 1
PA9-2b,6,10,Level 1
PA11-2a,6,11,Level 1
PA11-2b,6,12,Level 1
PA13-2a,6,13,Level 1
PA13-2b,6,14,Level 1
PA15-2a,6,15,Level 1
PA15-2b,6,16,Level 1
PA17-2a,6,17,Level 1
PA17-2b,6,18,Level 1
PA19-2a,6,19,Level 1
PA19-2b,6,20,Level 1
PA21-2a,6,21,Level 1
PA21-2b,6,22,Level 1
PA23-2a,6,23,Level 1
PA23-2b,6,24,Level 1
PA25-2a,6,25,Level 1
PA25-2b,6,26,Level 1
PA27-2a,6,27,Level 1
PA27-2b,6,28,Level 1
PA29-2a,6,29,Level 1
PA29-2b,6,30,Level 1
PA31-2a,6,31,Level 1
PA31-2b,6,32,Level 1
PA33-2a,6,33,Level 1
PA33-2b,6,34,Level 1
PA35-2a,6,35,Level 1
PA35-2b,6,36,Level 1
PA37-2a,6,37,Level 1
PA37-2b,6,38,Level 1
PA39-2a,6,39,Level 1
PA39-2b,6,40,Level 1
PA41-2a,6,41,Level 1
PA41-2b,6,42,Level 1
PA43-2a,6,43,Level 1
PA43-2b,6,44,Level 1
PA45-2a,6,45,Level 1
PA45-2b,6,46,Level 1
PA47-2a,6,47,Level 1
PA47-2b,6,48,Level 1
PA49-2a,6,49,Level 1
PA49-2b,6,50,Level 1
PA51-2a,6,51,Level 1
PA51-2b,6,52,Level 1
PA53-2a,6,53,Level 1
PA53-2b,6,54,Level 1
PA55-2a,6,55,Level 1
PA55-2b,6,56,Level 1
PA57-2a,6,57,Level 1
PA57-2b,6,58,Level 1
PA59-2a,6,59,Level 1
PA59-2b,6,60,Level 1
PA61-2a,6,61,Level 1
PA61-2b,6,62,Level 1
PA63-2a,6,63,Level 1
PA63-2b,6,64,Level 1
PA65-2a,6,65,Level 1
PA65-2b,6,66,Level 1
PA67-2a,6,67,Level 1
PA67-2b,6,68,Level 1
PA69-2a,6,69,Level 1
PA69-2b,6,70,Level 1
PA71-2a,6,71,Level 1
PA71-2b,6,72,Level 1
PA73-2a,6,73,Level 1
PA73-2b,6,74,Level 1
PA75-2a,6,75,Level 1
PA75-2b,6,76,Level 1
PA77-2a,6,77,Level 1
PA77-2b,6,78,Level 1
PA79-2a,6,79,Level 1
PA79-2b,6,80,Level 1
PA81-2a,6,81,Level 1
PA81-2b,6,82,Level 1
PA83-2a,6,83,Level 1
PA83-2b,6,84,Level 1
PA85-2a,6,85,Level 1
PA85-2b,6,86,Level 1
PA87-2a,6,87,Level 1
PA87-2b,6,88,Level 1
PA89-2a,6,89,Level 1
PA89-2b,6,90,Level 1
PA91-2a,6,91,Level 1
PA91-2b,6,92,Level 1
PA93-2a,6,93,Level 1
PA93-2b,6,94,Level 1
PA95-2a,6,95,Level 1
PA95-2b,6,96,Level 1
PA97-2a,6,97,Level 1
PA97-2b,6,98,Level 1
PA99-2a,6,99,Level 1
PA99-2b,6,100,Level 1
PA101-2a,6,101,Level 1
PA101-2b,6,102,Level 1
PA103-2a,6,103,Level 1
PA103-2b,6,104,Level 1
PA105-2a,6,105,Level 1
PA105-2b,6,106,Level 1
PA107-2a,6,107,Level 1
PA107-2b,6,108,Level 1
PA109-2a,6,109,Level 1
PA109-2b,6,110,Level 1
PA111-2a,6,111,Level 1
PA111-2b,6,112,Level 1
PA113-2a,6,113,Level 1
PA113-2b,6,114,Level 1
PA115-2a,6,115,Level 1
PA115-2b,6,116,Level 1
PA117-2a,6,117,Level 1
PA117-2b,6,118,Level 1
PA1-1a,7,1,Level 1
PA1-1b,7,2,Level 1
PA3-1a,7,3,Level 1
PA3-1b,7,4,Level 1
PA5-1a,7,5,Level 1
PA5-1b,7,6,Level 1
PA7-1a,7,7,Level 1
PA7-1b,7,8,Level 1
PA9-1a,7,9,Level 1
PA9-1b,7,10,Level 1
PA11-1a,7,11,Level 1
PA11-1b,7,12,Level 1
PA13-1a,7,13,Level 1
PA13-1b,7,14,Level 1
PA15-1a,7,15,Level 1
PA15-1b,7,16,Level 1
PA17-1a,7,17,Level 1
PA17-1b,7,18,Level 1
PA19-1a,7,19,Level 1
PA19-1b,7,20,Level 1
PA21-1a,7,21,Level 1
